text,episode,season,name
"In this episode: Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",1,1,Winter is Coming
"[First scene opens with three Rangers riding through a tunnel, leaving the Wall, and going into the woods. (Eerie music in background) One Ranger splits off and finds a campsite full of mutilated bodies, including a child hanging from a tree branch. A birds-eye view shows the bodies arranged in a shield-like pattern. The Ranger rides back to the other two.]",1,1,Winter is Coming
"WAYMAR ROYCE: What d’you expect? They’re savages. One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces.",1,1,Winter is Coming
"WILL: I’ve never seen wildlings do a thing like this. I’ve never seen a thing like this, not ever in my life.",1,1,Winter is Coming
WAYMAR ROYCE: How close did you get?,1,1,Winter is Coming
WILL: Close as any man would.,1,1,Winter is Coming
GARED: We should head back to the wall.,1,1,Winter is Coming
ROYCE: Do the dead frighten you?,1,1,Winter is Coming
GARED: Our orders were to track the wildlings. We tracked them. They won’t trouble us no more.,1,1,Winter is Coming
ROYCE: You don’t think he’ll ask us how they died? Get back on your horse.,1,1,Winter is Coming
[GARED grumbles.] ,1,1,Winter is Coming
WILL: Whatever did it to them could do it to us. They even killed the children.,1,1,Winter is Coming
"ROYCE: It’s a good thing we’re not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don’t catch you first. Get back on your horse. I won’t say it again.",1,1,Winter is Coming
"[WILL glares, but obeys. Sometime later, the three Rangers return to the campsite, which is now completely cleared.]",1,1,Winter is Coming
ROYCE: Your dead men seem to have moved camp. ,1,1,Winter is Coming
WILL: They were here.,1,1,Winter is Coming
GARED: See where they went.,1,1,Winter is Coming
"[The three look around, swords drawn. They hear the wind and eerie calls. GARED finds a red cloth in the snow.]",1,1,Winter is Coming
ROYCE: What is it?,1,1,Winter is Coming
GARED: It’s …,1,1,Winter is Coming
"[As he speaks, a CREATURE with glowing blue eyes rises behind ROYCE. ROYCE turns, the CREATURE strikes. The scene shifts to WILL, who hears a man crying out. The three horses stampede past him. He turns and sees someone standing very still in the distance. The figure turns – it’s the child who had been suspended in the tree, now with glowing blue eyes. WILL turns and runs. ",1,1,Winter is Coming
"GARED is also fleeing, and we hear strange growls and catch glimpses of the CREATURE. Both terrified RANGERS stop, some distance apart, to catch their breath. WILL sees a CREATURE behead GARED. WILL sinks to his knees and the CREATURE tosses GARED’S head to him.]",1,1,Winter is Coming
[Blackout / Opening credits],1,1,Winter is Coming
"[Riders from Winterfell come up behind a dazed WILL. The scene shifts to the castle, where BRAN is practicing archery and getting frustrated, under the eyes of JON SNOW and ROBB STARK. JON pats BRAN’S shoulder.]",1,1,Winter is Coming
JON: Go on. Father’s watching. ,1,1,Winter is Coming
[We see NED and CATELYN STARK watching from above.],1,1,Winter is Coming
JON: And your mother.,1,1,Winter is Coming
[Scene shifts to needlework practice with the girls inside the castle.],1,1,Winter is Coming
"SEPTA MORDANE (to SANSA): Fine work, as always. Well done.",1,1,Winter is Coming
SANSA: Thank you.,1,1,Winter is Coming
SEPTA MORDANE: I love the detail that you’ve managed to get in this corners. … Quite beautiful … the stitching …,1,1,Winter is Coming
"[As she murmurs to SANSA about the embroidery, ARYA struggles with her needlework and listens to the arrows hitting and the male laughter outside.]",1,1,Winter is Coming
"[Outside, BRAN tries and misses again. Everyone laughs.]",1,1,Winter is Coming
"NED: And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",1,1,Winter is Coming
"JON: Don’t think too much, Bran.",1,1,Winter is Coming
ROBB: Relax your bow arm.,1,1,Winter is Coming
"[BRAN pulls the arrow back. An arrow hits the bullseye. BRAN (still with his arrow), JON, and ROBB turn in surprise to see ARYA, who curtsies after her perfect shot. ROBB and JON laugh as Bran takes out after ARYA.]",1,1,Winter is Coming
"JON/ROBB: Quick, Bran, faster!",1,1,Winter is Coming
[RODRICK CASSEL and THEON GREYJOY approach NED and CATELYN on the balcony.],1,1,Winter is Coming
CASSEL: Lord Stark. My lady. A guardsman just rode in from the hills. They’ve captured a deserter from the Night’s Watch.,1,1,Winter is Coming
[NED grimaces.],1,1,Winter is Coming
NED: Get the lads to saddle their horses.,1,1,Winter is Coming
[THEON departs.],1,1,Winter is Coming
CATELYN: Do you have to?,1,1,Winter is Coming
"NED: He swore an oath, Cat.",1,1,Winter is Coming
"CASSEL: The law is law, my lady.",1,1,Winter is Coming
"NED: Tell Bran he’s coming, too.",1,1,Winter is Coming
[CASSEL nods and departs.],1,1,Winter is Coming
CATELYN: Ned. Ten is too young to see such things.,1,1,Winter is Coming
NED: He won’t be a boy forever. And winter is coming.,1,1,Winter is Coming
"[NED departs. In the courtyard, ROBB and JON gather the arrows. CATELYN turns and glares down on JON. He looks at her and walks away.]",1,1,Winter is Coming
"ROBB: Lad, go run back and get the rest.",1,1,Winter is Coming
"[Scene shifts, and we see WILL being taken to the block.] ",1,1,Winter is Coming
"WILL (muttering): White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",1,1,Winter is Coming
[He and NED face each other.],1,1,Winter is Coming
