season,episode,line_number,start_time,end_time,lines
2,1,1,"00:00:06,159","00:00:08,694","<i>( Theme music playing )</i>
"
2,1,2,"00:00:08,719","00:00:12,719","<font color=#00FF00>♪ Game of Thrones 2x01 ♪</font>
<font color=#00FFFF>The North Remembers</font>
Original Air Date on April 1, 2012
"
2,1,3,"00:00:12,744","00:00:16,744","== sync, corrected by <font color=""#00ff00"">elderman</font> ==
"
2,1,4,"00:00:16,769","00:01:52,475","♪
"
2,1,5,"00:01:54,066","00:01:56,301","( Both yelling )
"
2,1,6,"00:02:09,715","00:02:12,483","( Applause, cheering )
"
2,1,7,"00:02:12,517","00:02:14,952","Well struck.
"
2,1,8,"00:02:14,986","00:02:16,754","Well struck, Dog.
"
2,1,9,"00:02:20,558","00:02:22,493","Did you like that?
"
2,1,10,"00:02:22,527","00:02:24,394","It was well struck,
Your Grace.
"
2,1,11,"00:02:24,429","00:02:26,764","I already said
it was well struck.
"
2,1,12,"00:02:27,999","00:02:30,134","Yes, Your Grace.
"
2,1,13,"00:02:37,576","00:02:39,711","- Who's next?
- Herald: <i>Lothor Brune,</i>
"
2,1,14,"00:02:39,745","00:02:43,215","freerider in the service
of Lord Baelish.
"
2,1,15,"00:02:43,249","00:02:46,685","Ser Dontos the Red
of House Hollard.
"
2,1,16,"00:02:49,356","00:02:52,191","Ser Dontos the Red
of House Hollard!
"
2,1,17,"00:02:52,226","00:02:53,760","Dontos:
<i>Here I am.</i>
"
2,1,18,"00:02:53,794","00:02:56,563","Here I am.
"
2,1,19,"00:03:01,902","00:03:04,503","Sorry, Your Grace.
"
2,1,20,"00:03:04,537","00:03:06,338","My deepest apologies.
"
2,1,21,"00:03:06,372","00:03:08,139","- Joffrey: <i>Are you drunk?</i>
- No.
"
2,1,22,"00:03:08,174","00:03:10,876","Uh, no.
No, Your Grace.
"
2,1,23,"00:03:10,910","00:03:13,678","- I had two cups of wine.
- Two cups?
"
2,1,24,"00:03:13,712","00:03:15,881","That's not much at all.
"
2,1,25,"00:03:15,915","00:03:18,383","Please,
have another cup.
"
2,1,26,"00:03:18,418","00:03:19,785","Are you sure, Your Grace?
"
2,1,27,"00:03:19,820","00:03:22,121","Joffrey: <i>Yes. To celebrate</i>
<i>my name day.</i>
"
2,1,28,"00:03:22,156","00:03:24,858","Have two.
Have as much as you like.
"
2,1,29,"00:03:24,892","00:03:27,829","I would be honored,
Your Grace.
"
2,1,30,"00:03:29,231","00:03:32,300","Ser Meryn, help Ser Dontos
celebrate my name day.
"
2,1,31,"00:03:32,334","00:03:34,635","See that he drinks
his fill.
"
2,1,32,"00:03:37,772","00:03:39,941","<i>( Crowd gasps )</i>
"
2,1,33,"00:03:49,185","00:03:52,153","( Gurgling )
"
2,1,34,"00:03:52,187","00:03:55,223","You can't.
"
2,1,35,"00:03:55,257","00:03:57,024","What did you say?
"
2,1,36,"00:03:58,193","00:04:00,060","Did you say I can't?
"
2,1,37,"00:04:00,095","00:04:02,763","I only meant
it would be bad luck
"
2,1,38,"00:04:02,797","00:04:04,531","to kill a man
on your name day.
"
2,1,39,"00:04:04,565","00:04:06,832","What kind of stupid
peasant's superstition...
"
2,1,40,"00:04:06,867","00:04:08,701","Hound:
<i>The girl is right.</i>
"
2,1,41,"00:04:08,735","00:04:10,502","<i>What a man sows</i>
<i>on his name day</i>
"
2,1,42,"00:04:10,537","00:04:12,071","he reaps all year.
"
2,1,43,"00:04:12,105","00:04:14,573","- <i>( Men laughing )</i>
- <i>( Wine pouring )</i>
"
2,1,44,"00:04:14,608","00:04:17,243","- <i>( Dontos gagging )</i>
- Take him away.
"
2,1,45,"00:04:17,277","00:04:19,512","I'll have him killed
tomorrow, the fool.
"
2,1,46,"00:04:20,681","00:04:22,415","<i>( Crowd murmuring )</i>
"
2,1,47,"00:04:22,449","00:04:24,050","He is.
"
2,1,48,"00:04:24,084","00:04:25,752","A fool--
you're so clever to see it.
"
2,1,49,"00:04:25,786","00:04:29,189","He'll make a much better fool
than a knight.
"
2,1,50,"00:04:29,223","00:04:32,526","He doesn't deserve
the mercy of a quick death.
"
2,1,51,"00:04:33,895","00:04:36,763","Did you hear My Lady,
Ser Dontos?
"
2,1,52,"00:04:36,798","00:04:39,934","From this day,
you'll be my new fool.
"
2,1,53,"00:04:39,968","00:04:42,136","Thank you, Your Grace.
"
2,1,54,"00:04:42,171","00:04:45,406","And you, My Lady,
thank you.
"
2,1,55,"00:04:45,441","00:04:48,410","Tyrion:
<i>Beloved nephew.</i>
"
2,1,56,"00:04:54,617","00:04:57,318","We looked for you
on the battlefield.
"
2,1,57,"00:04:59,254","00:05:02,656","You were nowhere
to be found.
"
2,1,58,"00:05:02,690","00:05:05,392","I've been here,
ruling the kingdoms.
"
2,1,59,"00:05:05,426","00:05:08,828","What a fine job
you've done.
"
2,1,60,"00:05:08,862","00:05:10,496","Look at you.
"
2,1,61,"00:05:11,798","00:05:13,933","More beautiful
than ever.
"
2,1,62,"00:05:13,967","00:05:18,137","And you! You-- you're going to be
bigger than the hound,
"
2,1,63,"00:05:18,171","00:05:20,639","- but much better looking.
- ( Laughs )
"
2,1,64,"00:05:20,674","00:05:22,575","This one doesn't like me.
"
2,1,65,"00:05:22,609","00:05:24,444","Can't imagine why.
"
2,1,66,"00:05:24,478","00:05:27,113","- We heard you were dead.
- I'm glad you're not dead.
"
2,1,67,"00:05:27,148","00:05:29,049","Me, too, dear.
"
2,1,68,"00:05:29,083","00:05:31,351","Death is so boring,
especially now
"
2,1,69,"00:05:31,385","00:05:34,388","with so much excitement
in the world.
"
2,1,70,"00:05:34,422","00:05:36,658","My Lady, I'm sorry
for your loss.
"
2,1,71,"00:05:38,093","00:05:39,728","Her loss?
"
2,1,72,"00:05:39,762","00:05:41,663","Her father was
a confessed traitor.
"
2,1,73,"00:05:41,697","00:05:43,298","But still her father.
"
2,1,74,"00:05:43,333","00:05:45,334","Surely having so recently
lost your own beloved father
"
2,1,75,"00:05:45,368","00:05:47,269","you can sympathize.
"
2,1,76,"00:05:51,074","00:05:53,208","My father was a traitor.
"
2,1,77,"00:05:53,242","00:05:55,109","My mother and brother
are traitors, too.
"
2,1,78,"00:05:55,144","00:05:58,346","I am loyal
to my beloved Joffrey.
"
2,1,79,"00:05:59,548","00:06:01,949","Of course you are.
"
2,1,80,"00:06:03,585","00:06:07,454","Well, enjoy your name day,
Your Grace.
"
2,1,81,"00:06:07,489","00:06:09,389","Wish I could stay
and celebrate,
"
2,1,82,"00:06:09,424","00:06:12,192","but there is work
to be done.
"
2,1,83,"00:06:12,226","00:06:14,227","What work?
"
