gram_0,gram_1
theme,music
font,color
sync,corrected
well,struck
well,struck
already,said
freerider,service
ser,dontos
ser,dontos
two,cups
please,another
would,honored
ser,meryn
see,drinks
meant,would
kill,man
kind,stupid
hound,girl
man,sows
men,laughing
dontos,gagging
killed,tomorrow
fool,clever
make,much
deserve,mercy
hear,lady
day,new
tyrion,beloved
fine,job
much,better
death,boring
much,excitement
lady,sorry
father,confessed
surely,recently
mother,brother
loyal,beloved
well,enjoy
wish,could
pycelle,raven
conclave,met
maesters,seven
declared,great
longest,summer
peasants,say
even,longer
littlefinger,enough
city,drowning
winter,coming
command,city
owe,title
belong,field
ravishing,ever
ah,remarkable
pissed,edge
slept,sky
fought,hill
welcome,small
father,hand
varys,father
serve,hand
cersei,would
tyrion,capable
quite,right
son,called
entire,north
bit,theater
robb,stark
understand,losing
know,enemies
almost,much
king,listens
king,might
one,redeeming
starks,love
three,starks
chopped,one
leadranach,lord
walls,holdfast
stones,last
afraid,masons
fit,carry
boy,remember
put,new
men,worked
today,holdfast
night,hear
gods,forbid
might,well
luwin,maintenance
generally,falls
sent,young
fight,robb
called,banners
bran,joffrey
remember,vows
spare,four
sufficient,repair
like,way
listening,people
one,responsibilities
luwin,lord
lord,may
wings,flapping
boil,hour
makes,pain
heard,men
say,means
osha,heard
means,lannisters
heard,stableboy
mark,death
stars,fall
red,comet
brother,say
said,ate
tell,kind
brother,know
know,anything
drogo,first
promised,enemies
make,starvation
trick,never
farther,east
everything,ends
go,south
lamb,men
go,west
first,khalasar
kill,us
one,take
bad,time
nothing,killed
grenn,ass
wanted,shut
born,place
later,fell
dolorous,edd
seen,girl
like,people
like,people
wildlings,hundred
must,something
said,planned
people,make
seen,benjen
always,treated
good,wine
southerners,make
prettier,half
got,nice
lot,south
north,real
lad,meant
catch,pretty
one,talk
sit,shut
bring,good
passed,six
could,tell
mormont,barrel
bring,man
craster,want
north,join
broke,vows
poor,black
king,beyond
good,looking
another,one
oh,lovely
want,know
hear,already
plan,marching
one,direction
bad,times
cold,winds
tell,lord
husband,keeps
better,live
craster,make
see,young
one,warm
chose,different
oh,aye
wanting,sleep
roof,would
brought,food
man,lays
see,one
might,gouge
want,lead
melisandre,lord
offer,false
take,cast
night,dark
men,night
melisandre,long
darkness,fall
melisandre,cold
dead,shall
men,named
treat,gods
eager,spit
fear,piss
ancient,books
warrior,draw
sword,shall
men,lord
melisandre,night
night,dark
woman,lead
even,like
since,boar
every,lord
means,telling
surrounded,fools
matthos,declare
beloved,brother
harmless,courtesy
brother,robert
boy,joffrey
girl,myrcella
cersei,lannister
right,birth
matthos,brother
right,birth
stannis,make
whatever,else
ser,jaime
right,birth
day,lay
let,true
eddard,stark
send,copies
time,come
let,man
grace,lannisters
time,could
make,peace
well,many
mace,tyrell
stannis,need
lord,light
many,ships
renly,grace
would,steal
always,served
well,know
joffrey,renly
bend,knee
owe,apology
chosen,new
may,lord
shall,drink
cup,wine
night,dark
fire,burns
keep,expecting
one,castle
drag,along
grown,fond
never,seen
left,one
father,would
bannerman,would
release,son
refuse,house
men,following
oh,trust
like,called
robb,insult
defeated,boy
held,captive
perhaps,killed
stannis,baratheon
high,lords
king,joffrey
true,stannis
father,learned
prisoner,ned
world,learn
pushed,brother
want,trade
sending,one
think,father
three,victories
better,three
shae,city
like,dead
tyrion,bit
thought,wanted
love,smell
cum,garlic
smell,cum
cities,make
yes,well
trust,anyone
liars,good
one,two
biggest,little
